unit_number,card_type,eponym,name,normal_card_id,rank_max_card_id,normal_unit_navi_asset_id,rank_max_unit_navi_asset_id,rarity,card_color,smile_max,pure_max,cool_max,center_skill_description,skill_effect_type,skill_type_name,skill_lv_8_description,skill_lv_max_description
1,1,None,桜坂しずく,1,2,1,2,1,1,1340,690,500,,,,,
2,1,None,宮下ココ,6,7,3,4,1,2,560,1370,620,,,,,
3,1,None,逢沢遊宇,11,12,5,6,1,3,590,570,1420,,,,,
4,1,None,一之瀬マリカ,16,17,7,8,1,1,1460,640,570,,,,,
5,1,None,結城紗菜,21,22,9,10,1,2,510,1500,720,,,,,
6,1,None,西村文絵,26,27,11,12,1,3,640,590,1500,,,,,
7,1,None,永山みなみ,31,32,13,14,1,1,1550,650,590,,,,,
8,1,None,クリスティーナ,36,37,15,16,1,2,640,1590,610,,,,,
9,1,None,菊池朱美,41,42,17,18,1,3,750,510,1680,,,,,
10,1,None,須田いるか,46,47,19,20,1,1,1740,740,520,,,,,
11,1,None,杉崎亜矢,51,52,21,22,1,2,610,1780,660,,,,,
12,1,None,御堂優理,56,57,23,24,1,3,740,550,1820,,,,,
13,1,None,佐伯麗音,61,62,25,26,1,1,1900,790,500,,,,,
14,1,None,鳥居歩美,66,67,27,28,1,2,590,1900,670,,,,,
15,1,None,神谷理華,71,72,29,30,1,3,800,520,1920,,,,,
16,1,None,森嶋ななか,76,77,31,32,1,1,1980,690,670,,,,,
17,1,None,九条聖来,81,82,33,34,1,2,580,1980,810,,,,,
18,1,None,近江彼方,86,87,35,36,1,3,690,690,2060,,,,,
19,1,None,近江遥,91,92,37,38,1,1,2140,840,550,,,,,
20,1,None,下園咲,96,97,39,40,1,2,690,2170,680,,,,,
21,1,None,田中さち子,101,102,41,42,1,3,820,580,2220,,,,,
22,1,None,支倉かさね,106,107,43,44,1,1,2560,1040,730,,,,,
23,1,None,多々良るう,111,112,45,46,1,2,730,2590,1010,,,,,
24,1,None,篠宮あきる,116,117,47,48,1,3,1020,740,2650,,,,,
25,1,None,吉川瑞希,121,122,49,50,1,1,2710,1100,980,,,,,
26,1,None,白木凪,126,127,51,52,1,2,880,2760,1230,,,,,
27,1,None,藤城悠弓,131,132,53,54,1,3,1130,980,2790,,,,,
28,1,None,高坂穂乃果,241,242,97,98,2,1,4060,1850,1980,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
29,1,None,絢瀬絵里,246,247,99,100,2,1,3280,2460,2030,スマイルPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
30,1,None,南ことり,251,252,101,102,2,1,3260,2440,2070,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
31,1,None,園田海未,256,257,103,104,2,1,3350,2050,2370,スマイルPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
32,1,None,星空凛,261,262,105,106,2,1,3840,1860,2190,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
33,1,None,西木野真姫,266,267,107,108,2,1,3420,2320,2030,スマイルPが3%UPする,11,SCOREアップ,10秒ごとに50%の確率でスコアが400増える,10秒ごとに50%の確率でスコアが430増える
34,1,None,東條希,271,272,109,110,2,1,3470,2340,1960,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
35,1,None,小泉花陽,276,277,111,112,2,1,3340,2010,2420,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
36,1,None,矢澤にこ,281,282,113,114,2,1,3900,2070,1800,スマイルPが3%UPする,11,SCOREアップ,コンボ17を達成するごとに50%の確率でスコアが400増える,コンボ17を達成するごとに50%の確率でスコアが440増える
37,1,None,高坂穂乃果,196,197,79,80,2,2,1950,3270,2400,ピュアPが3%UPする,9,体力回復,10秒ごとに50%の確率で体力が3回復する,10秒ごとに50%の確率で体力が3回復する
38,1,None,絢瀬絵里,201,202,81,82,2,2,2030,3250,2340,ピュアPが3%UPする,9,体力回復,PERFECTを15回達成するごとに50%の確率で体力が3回復する,PERFECTを15回達成するごとに50%の確率で体力が3回復する
39,1,None,南ことり,206,207,83,84,2,2,2130,3810,1770,ピュアPが3%UPする,9,体力回復,コンボ17を達成するごとに50%の確率で体力が3回復する,コンボ17を達成するごとに50%の確率で体力が3回復する
